text,triplets,relations,definitions
"Adaševci (Serbian Cyrillic: ) is a village located in the municipality of Šid, Srem District, Vojvodina, Serbia.","[['Adaševci', 'country', 'Serbia'], ['Adaševci', 'instance of', 'Village']]","['instance of', 'country']","instance of: The subject entity is a specific example or type of the category specified by the object entity.

country: The subject entity is located within the geographical boundaries of the country specified by the object entity."
Simone Kennedy represented Australia at the 2012 Summer Paralympics and won a silver medal in the individual pursuit C1-3.,"[['Simone Kennedy', 'participant of', '2012 Summer Paralympics'], ['Simone Kennedy', 'country of citizenship', 'Australia']]","['participant of', 'country of citizenship']","participant of: The subject entity took part in the event specified by the object entity.

country of citizenship: The subject entity holds citizenship in the country specified by the object entity."
"Additionally, Scott Carlson was briefly the bassist and vocalist of pioneering death metal band Death, as well as bassist of doom metal band Cathedral, bassist and vocalist of Swedish death metal band Death Breath, vocalist of Japanese doom metal band Church of Misery, bassist of hardcore punk band Septic Tank, guitarist of garage rock band The Superbees and guitarist of From Beyond.","[['Scott Carlson', 'occupation', 'Guitarist'], ['Scott Carlson', 'occupation', 'Bassist'], ['Scott Carlson', 'member of', 'Church of Misery']]","['member of', 'occupation']","member of: The subject entity is a member of the group or organization specified by the object entity.

occupation: The subject entity holds the profession or role specified by the object entity."
Hemicladus dejeanii is a species of beetle in the family Cerambycidae.,"[['Hemicladus dejeanii', 'taxon rank', 'Species']]",['taxon rank'],taxon rank: The subject entity is classified at the taxonomic rank specified by the object entity.
"Washington Trust Field and Patterson Baseball Complex is a college baseball stadium on the campus of Gonzaga University on Spokane, Washington.","[['Washington Trust Field and Patterson Baseball Complex', 'owned by', 'Gonzaga University']]",['owned by'],owned by: The subject entity is possessed or managed by the entity specified by the object entity.
"Hutt Peak (76°1S 132°39W) is a small but sharply rising snow-covered peak that rises above the general level of the central part of the Mount Bursey massif, in Marie Byrd Land, Antarctica.","[['Hutt Peak', 'continent', 'Antarctica']]",['continent'],continent: The subject entity is located on the continent specified by the object entity.
"Pioneers in Ingolstadt (German: Pioniere in Ingolstadt) is a play by German playwright Marieluise Fleißer, which premiered on 25 March 1928 in Dresden.","[['Pioneers in Ingolstadt', 'location of first performance', 'Dresden'], ['Pioneers in Ingolstadt', 'author', 'Marieluise Fleißer']]","['author', 'location of first performance']","author: The subject entity was created or written by the person or entity specified by the object entity.

location of first performance: The subject entity was first performed in the location specified by the object entity."
"In the Middle Ages Bukowno belonged to the Bishops of Kraków, and since its foundation until 1790 was part of the so-called Sławków Estate.","[['Bukowno', 'shares border with', 'Sławków']]",['shares border with'],shares border with: The subject entity is adjacent to or has a common boundary with the object entity.
"Puckeridge is a village in East Hertfordshire, England with a population of 3,561 (2011 Census).","[['Puckeridge', 'located in the administrative territorial entity', 'East Hertfordshire']]",['located in the administrative territorial entity'],located in the administrative territorial entity: The subject entity is situated within the geographical boundaries of the administrative territorial entity specified by the object entity.
"Ebuyer is an electronic commerce retailer based in Howden, East Riding of Yorkshire, England.","[['Ebuyer', 'headquarters location', 'Howden']]",['headquarters location'],headquarters location: The subject entity is located at the specified headquarters location indicated by the object entity.
"The Wittgenstein Centre for Demography and Global Human Capital  (IIASA, VID/ÖAW, WU) is a research collaboration between the International Institute for Applied Systems Analysis in Laxenburg, the Vienna Institute of Demography of the Austrian Academy of Sciences, and the Vienna University of Economics and Business, both located in Vienna.","[['Wittgenstein Centre for Demography and Global Human Capital', 'parent organization', 'International Institute for Applied Systems Analysis']]",['parent organization'],parent organization: The subject entity is an organization that is affiliated with or is a part of the larger organization specified by the object entity.
Aloo chaat is mainly a street food.,"[['Aloo chaat', 'subclass of', 'Street food']]",['subclass of'],subclass of: The subject entity is a specific instance or category that falls under the broader classification specified by the object entity.
In 1813 Friedrich Karl Hermann Kruse obtained his doctorate from the University of Leipzig.,"[['Friedrich Karl Hermann Kruse', 'work location', 'Leipzig'], ['Friedrich Karl Hermann Kruse', 'academic degree', 'Doctorate'], ['Friedrich Karl Hermann Kruse', 'place of death', 'Leipzig']]","['place of death', 'work location', 'academic degree']","place of death: The subject entity passed away in the location specified by the object entity.

work location: The subject entity was employed or conducted work at the location specified by the object entity.

academic degree: The subject entity was awarded the academic degree specified by the object entity."
"Elizabeth Koch has also been guest principal with the Chicago Symphony Orchestra, playing the oboe solo in the Piano Concerto No.","[['Elizabeth Koch', 'instrument', 'Oboe']]",['instrument'],instrument: The subject entity plays or is associated with the musical instrument specified by the object entity.
"Chris von Rohr is best known for being a member and founder of the hard rock band, Krokus.","[['Chris von Rohr', 'genre', 'Hard rock']]",['genre'],genre: The subject entity is associated with the genre specified by the object entity.
The Meripilaceae are a family of fungi in the order Polyporales.,"[['Meripilaceae', 'parent taxon', 'Polyporales']]",['parent taxon'],parent taxon: The subject entity is a taxonomic group that is classified under or is a part of the taxonomic group specified by the object entity.
Loch Ruthven is a large loch which lies to the southeast of Loch Ness in the Highland region of Scotland.,"[['Loch Ruthven', 'basin country', 'Scotland']]",['basin country'],basin country: The subject entity is located within the geographical area or region defined by the country specified by the object entity.
In 1966 Graham Bond ( gymnast ) was awarded a PhD on The application of computers to the solution of mine ventilation networks at the University of Queensland.,"[['Graham Bond ( gymnast )', 'educated at', 'University of Queensland']]",['educated at'],educated at: The subject entity received education or training at the institution specified by the object entity.
Siri Sunde (born 15 May 1958) is a Norwegian priest.,"[['Siri Sunde', 'date of birth', '15 May 1958']]",['date of birth'],date of birth: The subject entity was born on the date specified by the object entity.
